  n  E[WN]   sigma_WN     W50     W90      W95     W99
397   5.93    0.53       5.89    6.64     6.88    7.38
398   5.93    0.53       5.89    6.64     6.88    7.38
399   5.93    0.53       5.89    6.64     6.88    7.38
400   5.94    0.53       5.89    6.64     6.89    7.39
401   5.94    0.53       5.89    6.64     6.89    7.39
402   5.94    0.53       5.89    6.64     6.89    7.39
403   5.94    0.53       5.89    6.64     6.89    7.39
404   5.94    0.53       5.90    6.65     6.89    7.39
405   5.94    0.53       5.90    6.65     6.89    7.39
406   5.95    0.53       5.90    6.65     6.89    7.39
407   5.95    0.53       5.90    6.65     6.89    7.39
408   5.95    0.53       5.90    6.65     6.90    7.40
409   5.95    0.53       5.90    6.65     6.90    7.40
410   5.95    0.53       5.91    6.65     6.90    7.40
411   5.95    0.53       5.91    6.66     6.90    7.40
412   5.95    0.53       5.91    6.66     6.90    7.40
413   5.96    0.53       5.91    6.66     6.90    7.40
414   5.96    0.53       5.91    6.66     6.90    7.40
415   5.96    0.53       5.91    6.66     6.91    7.40
416   5.96    0.53       5.91    6.66     6.91    7.41
417   5.96    0.53       5.92    6.66     6.91    7.41
418   5.96    0.53       5.92    6.66     6.91    7.41
419   5.97    0.53       5.92    6.67     6.91    7.41
420   5.97    0.53       5.92    6.67     6.91    7.41
421   5.97    0.53       5.92    6.67     6.91    7.41
422   5.97    0.53       5.92    6.67     6.91    7.41
423   5.97    0.53       5.92    6.67     6.92    7.41
424   5.97    0.53       5.93    6.67     6.92    7.42
425   5.97    0.53       5.93    6.67     6.92    7.42
426   5.98    0.53       5.93    6.68     6.92    7.42
427   5.98    0.53       5.93    6.68     6.92    7.42
428   5.98    0.53       5.93    6.68     6.92    7.42
429   5.98    0.53       5.93    6.68     6.92    7.42
430   5.98    0.53       5.94    6.68     6.92    7.42
431   5.98    0.53       5.94    6.68     6.93    7.42
432   5.98    0.53       5.94    6.68     6.93    7.43
433   5.99    0.53       5.94    6.68     6.93    7.43
434   5.99    0.53       5.94    6.69     6.93    7.43
435   5.99    0.53       5.94    6.69     6.93    7.43
436   5.99    0.53       5.94    6.69     6.93    7.43
437   5.99    0.53       5.94    6.69     6.93    7.43
438   5.99    0.53       5.95    6.69     6.93    7.43
439   5.99    0.53       5.95    6.69     6.94    7.43
440   6.00    0.53       5.95    6.69     6.94    7.44
441   6.00    0.53       5.95    6.69     6.94    7.44
442   6.00    0.53       5.95    6.70     6.94    7.44
443   6.00    0.53       5.95    6.70     6.94    7.44
444   6.00    0.53       5.95    6.70     6.94    7.44
445   6.00    0.53       5.96    6.70     6.94    7.44
446   6.00    0.53       5.96    6.70     6.94    7.44
447   6.00    0.53       5.96    6.70     6.95    7.44
448   6.01    0.53       5.96    6.70     6.95    7.44
449   6.01    0.53       5.96    6.70     6.95    7.45
450   6.01    0.53       5.96    6.71     6.95    7.45
451   6.01    0.53       5.96    6.71     6.95    7.45
452   6.01    0.53       5.97    6.71     6.95    7.45
453   6.01    0.53       5.97    6.71     6.95    7.45
454   6.01    0.53       5.97    6.71     6.95    7.45
455   6.02    0.53       5.97    6.71     6.95    7.45
456   6.02    0.53       5.97    6.71     6.96    7.45
457   6.02    0.53       5.97    6.71     6.96    7.45
458   6.02    0.53       5.97    6.72     6.96    7.46
459   6.02    0.53       5.98    6.72     6.96    7.46
460   6.02    0.53       5.98    6.72     6.96    7.46
461   6.02    0.53       5.98    6.72     6.96    7.46
462   6.03    0.53       5.98    6.72     6.96    7.46
463   6.03    0.53       5.98    6.72     6.96    7.46
464   6.03    0.53       5.98    6.72     6.97    7.46
465   6.03    0.53       5.98    6.72     6.97    7.46
466   6.03    0.53       5.98    6.73     6.97    7.46
467   6.03    0.53       5.99    6.73     6.97    7.47
468   6.03    0.53       5.99    6.73     6.97    7.47
469   6.03    0.53       5.99    6.73     6.97    7.47
470   6.04    0.53       5.99    6.73     6.97    7.47
471   6.04    0.53       5.99    6.73     6.97    7.47
472   6.04    0.53       5.99    6.73     6.98    7.47
473   6.04    0.53       5.99    6.73     6.98    7.47
474   6.04    0.53       5.99    6.74     6.98    7.47
475   6.04    0.53       6.00    6.74     6.98    7.47
476   6.04    0.53       6.00    6.74     6.98    7.48
477   6.04    0.53       6.00    6.74     6.98    7.48
478   6.05    0.52       6.00    6.74     6.98    7.48
479   6.05    0.52       6.00    6.74     6.98    7.48
480   6.05    0.52       6.00    6.74     6.98    7.48
481   6.05    0.52       6.00    6.74     6.99    7.48
482   6.05    0.52       6.01    6.74     6.99    7.48
483   6.05    0.52       6.01    6.75     6.99    7.48
484   6.05    0.52       6.01    6.75     6.99    7.48
485   6.05    0.52       6.01    6.75     6.99    7.48
486   6.06    0.52       6.01    6.75     6.99    7.49
487   6.06    0.52       6.01    6.75     6.99    7.49
488   6.06    0.52       6.01    6.75     6.99    7.49
489   6.06    0.52       6.01    6.75     6.99    7.49
490   6.06    0.52       6.02    6.75     7.00    7.49
491   6.06    0.52       6.02    6.75     7.00    7.49
492   6.06    0.52       6.02    6.76     7.00    7.49
493   6.06    0.52       6.02    6.76     7.00    7.49
494   6.07    0.52       6.02    6.76     7.00    7.49
495   6.07    0.52       6.02    6.76     7.00    7.49
496   6.07    0.52       6.02    6.76     7.00    7.50
497   6.07    0.52       6.02    6.76     7.00    7.50
498   6.07    0.52       6.03    6.76     7.00    7.50
499   6.07    0.52       6.03    6.76     7.00    7.50
500   6.07    0.52       6.03    6.76     7.01    7.50
501   6.07    0.52       6.03    6.77     7.01    7.50
502   6.08    0.52       6.03    6.77     7.01    7.50
503   6.08    0.52       6.03    6.77     7.01    7.50
504   6.08    0.52       6.03    6.77     7.01    7.50
505   6.08    0.52       6.03    6.77     7.01    7.50
506   6.08    0.52       6.03    6.77     7.01    7.51
507   6.08    0.52       6.04    6.77     7.01    7.51
508   6.08    0.52       6.04    6.77     7.01    7.51
509   6.08    0.52       6.04    6.77     7.02    7.51
510   6.09    0.52       6.04    6.78     7.02    7.51
511   6.09    0.52       6.04    6.78     7.02    7.51
512   6.09    0.52       6.04    6.78     7.02    7.51
513   6.09    0.52       6.04    6.78     7.02    7.51
514   6.09    0.52       6.04    6.78     7.02    7.51
515   6.09    0.52       6.05    6.78     7.02    7.52
516   6.09    0.52       6.05    6.78     7.02    7.52
517   6.09    0.52       6.05    6.78     7.02    7.52
518   6.09    0.52       6.05    6.78     7.03    7.52
519   6.10    0.52       6.05    6.79     7.03    7.52
520   6.10    0.52       6.05    6.79     7.03    7.52
521   6.10    0.52       6.05    6.79     7.03    7.52
522   6.10    0.52       6.05    6.79     7.03    7.52
523   6.10    0.52       6.05    6.79     7.03    7.52
524   6.10    0.52       6.06    6.79     7.03    7.52
525   6.10    0.52       6.06    6.79     7.03    7.53
526   6.10    0.52       6.06    6.79     7.03    7.53
527   6.11    0.52       6.06    6.79     7.03    7.53
528   6.11    0.52       6.06    6.79     7.04    7.53
529   6.11    0.52       6.06    6.80     7.04    7.53
